job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry
"
            
        DevOps Engineer
      
          ","
            DataWeave
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-21 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          "
Communications Content Manager,Morgan McKinley,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-16 00:00:00,Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting
Entry level,Curinos,"New York, NY",Actively Hiring,2023-04-06 00:00:00,,"Marketing, Public Relations, and Writing/Editing",Full-time,Marketing Services
"
            
        Software Developer
      
          ","
            Ciena
          ","
            Kurla, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13 00:00:00,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Technology, Information and Internet
          "
"
            
        Azure cloud engineer_Deepanshi_TTP
      
          ","
            CodersBrain
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-24 00:00:00,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          "
"
            
        Regional Sales Manager
      
          ","
            Synergyze Financial
          ","
            Allen County, IN
          ","
         Actively Hiring
      ",2023-02-23 00:00:00,"
            Not Applicable
          ","
            Finance and Sales
          ","
          Full-time
        ","
          Insurance
          "
Content Writer,CBW Staffing Solutions,"Glasgow, Scotland, United Kingdom",Be an early applicant,2023-02-05 00:00:00,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet"
"
            
        Cloud Engineer
      
          ","
            Supersourcing
          ","
            India
          ","
         Actively Hiring
      ",2023-03-24 00:00:00,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Contract
        ","
          Software Development
          "
Senior Research Associate - Assistant Breeder,Corteva Agriscience,"Windfall, IN",Be an early applicant,2023-04-03 00:00:00,Not Applicable,Science,Full-time,Farming
"
            
        Software Engineer - Backend, India
      
          ","
            Evertz
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-11 00:00:00,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Banking, Financial Services, and Accounting
          "
"
            
        Executive Assistant To Chief Executive Officer
      
          ","
            Jonathan Sanders & Co
          ","
            Soho, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-12 00:00:00,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Staffing and Recruiting
          "
DevOps Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-09 00:00:00,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing
Embedded Firmware Lead | Firmware Engineer | Embedded Software Engineer,Intellectt Inc,"Austin, TX",Be an early applicant,2023-02-20 00:00:00,Mid-Senior level,Other,Full-time,IT Services and IT Consulting
"
            
        Product Data Scientist
      
          ","
            PayPal
          ","
            Los Angeles, CA
          ","
         Actively Hiring
      ",2023-03-10 00:00:00,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          Business Consulting and Services
          "
"
            
        Data Scientist
      
          ","
            AWM
          ","
            Irvine, CA
          ","
         Actively Hiring
      ",2023-03-19 00:00:00,,"
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          "
Embedded Engineer,Peritus Inc,"Irving, TX",Be an early applicant,2023-04-13 00:00:00,Contract,,,
Senior Data Scientist,Recruiting from Scratch,"El Cerrito, CA",Be an early applicant,2023-02-28 00:00:00,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting
"
            
        Executive Assistant to CEO
      
          ","
            Holiferm
          ","
            Manchester, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-03 00:00:00,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Medical Practices
          "
"Senior Executive, Customer Experience Analyst",NielsenIQ,"Pune, Maharashtra, India",Actively Hiring,2023-03-25 00:00:00,Mid-Senior level,Administrative,Full-time,Market Research
Site Reliability Engineer,IBM,"Bengaluru East, Karnataka, India",Be an early applicant,2023-04-04 00:00:00,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing
18_066?????????????????????(???????)<SL>,,"Yokohama, Kanagawa, Japan",Be an early applicant,2023-03-02 00:00:00,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting
"
            
        行政专员
      
          ","
            NebulaMatrix Technology Limited
          ","
            Shenzhen, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-13 00:00:00,"
            Not Applicable
          ","
            Information Technology, Writing/Editing, and Other
          ","
        
          Employment type
        
        
          Part-time
        
      ","
          IT Services and IT Consulting, Online Audio and Video Media, and Translation and Localization
          "
Software Development Engineer - I / II / III,Trential,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-13 00:00:00,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet"
