CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2022,2023,2024
12109,"St. Johns, FL",12810497,13900741,14423704
12111,"St. Lucie, FL",11773469,12613732,12842240
12113,"Santa Rosa, FL",5625514,5903179,6120812
12115,"Sarasota, FL",25555591,26976477,27981018
12117,"Seminole, FL",26183240,26794712,27404677
12119,"Sumter, FL",5085265,5396755,5791292
12121,"Suwannee, FL",1373208,1513031,1666334
12123,"Taylor, FL",700390,724536,649820
12125,"Union, FL",363086,399681,410095
12127,"Volusia, FL",21194611,22264658,22899878
12129,"Wakulla, FL",851603,863631,909779
12131,"Walton, FL",4395861,4608075,4883487
12133,"Washington, FL",646887,693291,723352
13001,"Appling, GA",1704888,1705149,1671215
13003,"Atkinson, GA",246469,261810,272823
13005,"Bacon, GA",384752,398072,399545
13007,"Baker, GA",67317,62677,67662
13009,"Baldwin, GA",1432028,1492324,1539495
13011,"Banks, GA",495522,486795,527369
13013,"Barrow, GA",2724039,2711246,2859782
13015,"Bartow, GA",5514455,6127036,6649961
13017,"Ben Hill, GA",575508,611603,622165
13019,"Berrien, GA",435797,438456,442143
13021,"Bibb, GA",8680136,8702966,8722664
13023,"Bleckley, GA",221320,256673,277615
13025,"Brantley, GA",294947,278738,280165
13027,"Brooks, GA",489676,476048,467534
13029,"Bryan, GA",1358139,2372490,2494183
13031,"Bulloch, GA",2747066,2844895,2918172
13033,"Burke, GA",2815223,2614223,3022505
13035,"Butts, GA",771944,824167,781053
13037,"Calhoun, GA",106695,115015,111787
13039,"Camden, GA",1955499,2043753,2144752
13043,"Candler, GA",280894,292824,308267
13045,"Carroll, GA",5988570,6463089,6665826
13047,"Catoosa, GA",1788959,1752759,1712970
13049,"Charlton, GA",214358,222253,215374
13051,"Chatham, GA",21168510,21690045,22101588
13053,"Chattahoochee, GA",1650206,1619562,1710403
13055,"Chattooga, GA",555791,524710,574676
13057,"Cherokee, GA",9120196,9523445,10117689
13059,"Clarke, GA",8071920,8276626,8379557
13061,"Clay, GA",72844,84171,56213
13063,"Clayton, GA",18558691,21294137,21234037
13065,"Clinch, GA",222214,219202,225841
13067,"Cobb, GA",63393358,64282981,64921272
13069,"Coffee, GA",1694431,1703616,1796848
13071,"Colquitt, GA",1517543,1557753,1609148
13073,"Columbia, GA",4599618,4601415,4766804
13075,"Cook, GA",409859,402820,389083
13077,"Coweta, GA",5507251,5717027,5911619
13079,"Crawford, GA",154946,162476,180302
13081,"Crisp, GA",999075,1035208,1027191
13083,"Dade, GA",451597,478344,521098
13085,"Dawson, GA",1021479,1046572,1167980
13087,"Decatur, GA",1033325,977269,1058528
13089,"DeKalb, GA",45115891,46559345,47192352
13091,"Dodge, GA",410907,432188,442650
13093,"Dooly, GA",363612,354420,320470
13095,"Dougherty, GA",4841385,4804020,4907588
13097,"Douglas, GA",5578283,5766135,6119327
13099,"Early, GA",518205,502308,501753
13101,"Echols, GA",40646,39272,40144
13103,"Effingham, GA",2225294,2293298,2275632
13105,"Elbert, GA",689465,678925,740382
13107,"Emanuel, GA",717349,734921,741868
13109,"Evans, GA",396095,405831,420668
13111,"Fannin, GA",903581,903606,979639
13113,"Fayette, GA",5980128,6136504,6218168
13115,"Floyd, GA",4271253,4377026,4445591
13117,"Forsyth, GA",11694644,11977988,12612503
13119,"Franklin, GA",1099449,1022686,1149135
13121,"Fulton, GA",199420680,196358140,201157288
13123,"Gilmer, GA",1025056,1008170,1115184
13125,"Glascock, GA",31372,32359,31581
13127,"Glynn, GA",4507340,4581667,4753424
13129,"Gordon, GA",2530863,2492255,2606146
13131,"Grady, GA",659711,635417,639492
13133,"Greene, GA",880357,883884,941330
13135,"Gwinnett, GA",54197245,55037656,56392457
13137,"Habersham, GA",1502646,1513371,1640256
13139,"Hall, GA",13189961,13465848,13805042
13141,"Hancock, GA",154235,153559,146520
13143,"Haralson, GA",1027911,1044647,1153957
13145,"Harris, GA",596147,623853,674049
13147,"Hart, GA",922143,926677,1005031
13149,"Heard, GA",1347083,1300631,1183172
13151,"Henry, GA",7943709,8523990,8992588
13153,"Houston, GA",7544634,7652057,7763379
13155,"Irwin, GA",218135,218983,223529
13157,"Jackson, GA",4729732,4702921,4775506
13159,"Jasper, GA",295934,309271,325797
13161,"Jeff Davis, GA",455307,476288,520485
13163,"Jefferson, GA",519243,517491,521830
13165,"Jenkins, GA",146351,153567,164494
13167,"Johnson, GA",122570,126922,130592
13169,"Jones, GA",441822,456463,492746
13171,"Lamar, GA",463728,475748,497526
13173,"Lanier, GA",132824,138391,143652
13175,"Laurens, GA",1888450,1989561,2067597
13177,"Lee, GA",767189,794944,818362
13179,"Liberty, GA",3909847,3948995,4102994
13181,"Lincoln, GA",134769,136634,137459
13183,"Long, GA",204910,213931,231513
13185,"Lowndes, GA",5275378,5264164,5436352
13187,"Lumpkin, GA",969391,969012,1025121
13189,"McDuffie, GA",667110,699311,674616
13191,"McIntosh, GA",231215,237386,240172
13193,"Macon, GA",463771,425370,469669
13195,"Madison, GA",640693,612570,692794
13197,"Marion, GA",111626,108758,108492
13199,"Meriwether, GA",625485,637930,682318
13201,"Miller, GA",197194,202910,205208
13205,"Mitchell, GA",759353,741192,805629
13207,"Monroe, GA",1397240,1301943,1390761
13209,"Montgomery, GA",141754,152205,158178
13211,"Morgan, GA",1092075,1047189,1117555
13213,"Murray, GA",1429363,1454566,1480226
13215,"Muscogee, GA",10415936,10696828,10780155
13217,"Newton, GA",3121984,3322671,3507598
13219,"Oconee, GA",1871284,1809934,1957955
13221,"Oglethorpe, GA",360046,346651,399665
13223,"Paulding, GA",3540522,3681134,3910454
13225,"Peach, GA",958045,997905,1100681
13227,"Pickens, GA",1119956,1105085,1190281
13229,"Pierce, GA",455763,480478,478240
13231,"Pike, GA",367207,369632,387401
13233,"Polk, GA",1334618,1330791,1360809
13235,"Pulaski, GA",270890,277883,291106
13237,"Putnam, GA",608389,640524,673974
13239,"Quitman, GA",32071,34464,35590
13241,"Rabun, GA",608979,622006,640851
13243,"Randolph, GA",184250,188065,173768
13245,"Richmond, GA",13004710,13004094,13207421
13247,"Rockdale, GA",4453918,4460822,4543019
13249,"Schley, GA",110735,112063,119759
13251,"Screven, GA",306191,309455,315874
13253,"Seminole, GA",282349,312956,302168
13255,"Spalding, GA",2279094,2306366,2354665
13257,"Stephens, GA",1086706,1056957,1087059
13259,"Stewart, GA",154160,163689,163775
